102000|Programación 1|6|Los objetivos de aprendizaje de la asignatura son analizar y diseñar algoritmos para, posteriormente, implementar en un lenguaje de programacióncompilable. Concretamente, el lenguaje imperativo escogido es ANSI C/C++ y los problemas a resolver son principalmente de tratamiento de secuencias.
102002|Estructura de Computadores 1|6|Asignatura  que  se  imparte  durante  el  primer  semestre  del  1r  curso  de  la  titulación.  Corresponde  a  la  materia  "Estructura  de  Computadores"  dentro  elmódulo de "Formación Básica".
102004|Lógica Computacional|6|Los contenidos del curso se estructuran en dos bloques. El primero presenta el sistema lógico de la lógica proposicional. El segundo presenta el sistemalógico de la lógica predicados.
102005|Álgebra|6|Asignatura que se imparte durante el 1r semestre del 1r curso de la titulación. Corresponde a la materia "Matemática" dentro del Módulo de "FormaciónBásica".
102008|Física|6|La asignatura tiene com objetivo fundamental la introducción de los principios y leyes básicas de la Física que deberán proporcionar una mejorcomprensión del funcionamiento de las tecnologías vinculadas a la informática y a las redes de comunicaciones.
102001|Programació 2|6|Los objetivos de la asignatura son: Aplicar el paradigma de Orientación a Objetos a problemas simples, Utilizar los tipos básicos de ficheros en Java, Diseñar algoritmos recursivos simples, Utilizar la documentación estándar de la plataforma Java, Manejar un entorno integrado de desarrollo.
102003|Estructura de Computadores 2|6|Los objetivos de la asignatura son: Implementar programas sencillos escritos en lenguaje ensamblador, Ser capaces de proponer una estructura básica para un repertorio de instrucciones, Ser capaz de proponer una estructura básica para la memoria principal de un computador, Identificar y entender el sistema de entrada/salida dentro de la estructura de un computador....
102006|Estadística y Optimización|9|Asignatura  que  se  imparte  dunte  el  2º  semestre  del  1r  curso  de  la  titulación.  Corresponde  a  la  Materia  "Matemática"  dentro  del  Módulo  "FormaciónBàsica".
102009|Organización Empresarial|9|Asignatura que se imparte en el segundo cuatrimestre del primer curso de la titulación. Corresponde a la Materia "Empresa" dentro del Módulo "FormaciónBásica". Es la primera asignatura que aborda el estudiante de esta materia y es importante familiarizarse los términos económicos así como lametodología a emplear en la resolución de temas de gestión empresarial.
102016|Bases de Datos|6| Forma parte de la Materia “Anàlisi i Disseny d’Aplicacions” en el Módulode “Formació Comú a la branca d’Informàtica”. Se introduce al estudiante en la tecnología de les Bases de Datos como mecanismo más habitual en lagestión,  manipulación  y  almacenaje  de  la  información,  centrándose  en  el  modelo  relacional.
102010|Estructuras de Datos|6|Estructura  de  Datos  está  diseñada  para  que  sea  la  continuación  natural  de  Programación  2,  porque  profundiza  en  la  disciplina  de  la  programación  y,especialmente, en el paradigma de la programación orientada a objetos. Este aspecto se tratará utilizando Java. Estructura de Datos también intentacomplementar Algoritmos y Complejidad, porque describe algoritmos asociados a estructuras de datos y discute su eficiencia utilizando la notación “Big-Oh”.
102012|Sistemas Operativos|9|Los objetivos de la asignatura son: Determinar las características funcionales y el diseño de los elementos que conforman un sistema operativo (SO), Utilizar de forma eficiente los servicios proporcionados por el SO para el diseño y desarrollo de aplicaciones informáticas, Analizar críticamente las características y el funcionamiento de las políticas que integran un SO...
102007|Matemática discreta|6|La  Matemática  Discreta  estudia  los  denominados  objetos  discretos,  es  decir,  aquellos  que  estan  formados  por  un  número  finito  o  numerable  deelementos. En matemáticas, el término discreto, en contraposición a continua, significa que esta constituido por elementos "separados entre si". Entre losobjetos discretos encontramos los números enteros y las estructuras algebraicas discretas que ya han sido tratadas en la asignatura de Álgebra.
102014|Arquitectura de Computadores|6|Los objetivos de la asignatura son: Estudiar el funcionamiento global de la memoria jerárquica del computador i los distintos niveles que la forman, Conocer el mecanismo de ejecución segmentada de las instrucciones dentro del procesador y evaluar su rendimiento, Saber valorar qué soluciones de diseñollegan a un mejor compromiso entre coste y rendimiento...
102061|Algorítmica y Complejidad|5|Los ojbetivos de la asignatura son:  Analizar la eficiencia de los algoritmos mediante el uso de la notación asintótica, Identificar la tipología del problema e identificar la estrategia algoritmia adecuada, Diseñar e implementar estructuras de datos adecuadas para representar la información propia de cada problema...
102062|Lenguajes, autómatas y gramáticas|4|apacidad para comprender y dominar los conceptos básicos de matemática discreta, lógica, algorítmica y complejidad computacional, y suaplicación para la resolución de problemas propios de la ingeniería.
102015|Redes|9|Conocimiento y aplicación de las características, funcionalidades y estructura de los Sistemas Distribuidos, las Redes deComputadores e Internet y diseñar e implementar aplicaciones basadas en ellas.
102017|Interacción Persona-Ordenador|6|La Interacción Persona-Ordenador (IPO), disciplina en la que se enmarca la asignatura, es un área de desarrollo reciente, como tantas otras ligadas alcampo de los ordenadores, con un carácter marcadamente interdisciplinario y que en los últimos años está viviendo un auge espectacular en sus diversasvertientes.
